record_id,benchmark_label,exact_peptide_hla_in_prime2_train,peptide_in_prime2_train,matched_training_labels,prime2_random_flag,exact_bigmhc_im_trainval_overlap,classification
tesla-616f27a10aa0f05f,0,1,1,0,0,1,exact_label_concordant
tesla-f2dcca675aedb8d9,0,1,1,0,0,1,exact_label_concordant
tesla-aaa94ca70f0c0a65,1,1,1,1,0,1,exact_label_concordant
tesla-2a07c22ef7cba611,0,1,1,0,0,1,exact_label_concordant
tesla-8c5ece8252b99aa7,0,1,1,0,0,1,exact_label_concordant
tesla-4b12f50397023800,0,1,1,0,0,1,exact_label_concordant
tesla-002a691a3e3cd93b,0,1,1,0,0,1,exact_label_concordant
tesla-3bb52604654d65a5,0,1,1,0,0,1,exact_label_concordant
tesla-6a90e2fbfe007e02,0,1,1,0,0,1,exact_label_concordant
tesla-0560014b5277bae4,1,1,1,1,0,1,exact_label_concordant
tesla-41434cd8ade6f2e5,0,1,1,0,0,1,exact_label_concordant
tesla-6ac7e4f40ed372b5,0,1,1,0,0,1,exact_label_concordant
tesla-3438dd9a2f8537cc,0,1,1,0,0,1,exact_label_concordant
tesla-abd287fe778ca178,0,1,1,0,0,1,exact_label_concordant
tesla-d876d75dcd17e205,1,1,1,1,0,1,exact_label_concordant
tesla-21b1e02f2206dc6c,0,1,1,0,0,1,exact_label_concordant
tesla-b1ce97b5544c383d,0,1,1,0,0,1,exact_label_concordant
tesla-674c45dad6c7db3e,0,1,1,0,0,1,exact_label_concordant
tesla-116e5eb351521276,0,1,1,0,0,1,exact_label_concordant
tesla-27cc5024bdc42cde,0,1,1,0,0,1,exact_label_concordant
tesla-8f0e99e949133f17,1,1,1,1,0,1,exact_label_concordant
tesla-82e45c203a3bcfc7,1,1,1,1,0,1,exact_label_concordant
tesla-25d2eff6bdee7d10,0,1,1,0,0,1,exact_label_concordant
tesla-a5a1c8d48997afb2,1,1,1,1,0,1,exact_label_concordant
tesla-da4640a408388083,0,1,1,0,0,1,exact_label_concordant
tesla-336997ed4cf1d67d,0,1,1,0,0,1,exact_label_concordant
tesla-e7d4e259d51c103a,0,1,1,0,0,1,exact_label_concordant
tesla-83dc7d0223c0fa2a,0,1,1,0,0,1,exact_label_concordant
tesla-fe561a9591e09d2d,0,1,1,0,0,1,exact_label_concordant
tesla-01fb1dcf2e5db5ba,0,1,1,0,0,1,exact_label_concordant
tesla-736fbb66baa1e5f3,0,1,1,0,0,1,exact_label_concordant
tesla-0a4a6459a0de4168,0,1,1,0,0,1,exact_label_concordant
tesla-a74e5cd3483401b9,0,1,1,0,0,1,exact_label_concordant
tesla-7d00c11e73b47e7f,0,1,1,0,0,1,exact_label_concordant
tesla-762d858f10d3866b,0,1,1,0,0,1,exact_label_concordant
tesla-b4938af023ea1673,0,1,1,0,0,1,exact_label_concordant
tesla-17680e7afc1bea93,0,1,1,0,0,1,exact_label_concordant
tesla-2233326548b61aa6,0,1,1,0,0,1,exact_label_concordant
tesla-ff1612b7384ab4dd,0,1,1,0,0,1,exact_label_concordant
tesla-d53377c149055aa5,0,1,1,0,0,1,exact_label_concordant
tesla-757d7e4ff453f62b,0,1,1,0,0,1,exact_label_concordant
tesla-e91168e4291a605e,0,1,1,0,0,1,exact_label_concordant
tesla-094c84ffae1dad30,0,1,1,0,0,1,exact_label_concordant
tesla-92dc7f94d479cfd8,0,1,1,0,0,1,exact_label_concordant
tesla-3a11b33b31854db1,0,1,1,0,0,1,exact_label_concordant
tesla-043642e747ec0ae6,1,1,1,1,0,1,exact_label_concordant
tesla-c2a5ca55fc704fb5,0,1,1,0,0,1,exact_label_concordant
tesla-5b7d93bbb1483902,0,1,1,0,0,1,exact_label_concordant
tesla-c7b1b1d19fca3296,0,1,1,0,0,1,exact_label_concordant
tesla-3e8678d57597be72,0,1,1,0,0,1,exact_label_concordant
tesla-ad1165c60777d4d5,0,1,1,0,0,1,exact_label_concordant
tesla-122798807b87fa7c,0,1,1,0,0,1,exact_label_concordant
tesla-fd148449f5f5a274,0,1,1,0,0,1,exact_label_concordant
tesla-a1226d352df69cdf,0,1,1,0,0,1,exact_label_concordant
tesla-60a47fa115eec5c1,0,1,1,0,0,1,exact_label_concordant
tesla-a0a36401dc9c1279,0,1,1,0,0,1,exact_label_concordant
tesla-138a7da522432950,0,1,1,0,0,1,exact_label_concordant
tesla-8dae54f83bb22934,0,1,1,0,0,1,exact_label_concordant
tesla-fdc53556a90bf9b6,0,1,1,0,0,1,exact_label_concordant
tesla-5f39b09d538f93ab,0,1,1,0,0,1,exact_label_concordant
tesla-cc1bdf16d4b3df17,0,1,1,0,0,1,exact_label_concordant
tesla-9355edea8b417e96,0,1,1,0,0,1,exact_label_concordant
tesla-1d05186c82d7addd,0,1,1,0,0,1,exact_label_concordant
tesla-f6505b9fc8747cc0,0,1,1,0,0,1,exact_label_concordant
tesla-fbf4a9929b22a019,0,1,1,0,0,1,exact_label_concordant
tesla-b882dc358947b0a1,1,1,1,1,0,1,exact_label_concordant
tesla-5b0924e0b59db559,0,1,1,0,0,1,exact_label_concordant
tesla-b06432164cbf4168,0,1,1,0,0,1,exact_label_concordant
tesla-dca66a2387d7634d,0,1,1,0,0,1,exact_label_concordant
tesla-8e4c4fdb25c716e3,0,1,1,0,0,1,exact_label_concordant
tesla-357876cd834234e2,0,1,1,0,0,1,exact_label_concordant
tesla-bea5c8ffa61a880b,0,1,1,0,0,1,exact_label_concordant
tesla-6cecfb1cffa11176,0,1,1,0,0,1,exact_label_concordant
tesla-8c88fc67e7221073,0,1,1,0,0,1,exact_label_concordant
tesla-5b6f822d911e0134,0,1,1,0,0,1,exact_label_concordant
tesla-519e959be5dda3a4,0,1,1,0,0,1,exact_label_concordant
tesla-5945a265ace31a75,0,1,1,0,0,1,exact_label_concordant
tesla-b9443cd1697dec23,0,1,1,0,0,1,exact_label_concordant
tesla-7b518c43687a6787,0,1,1,0,0,1,exact_label_concordant
tesla-a330a4ca2dfedf72,0,1,1,0,0,1,exact_label_concordant
tesla-ff913064a135277d,1,1,1,1,0,1,exact_label_concordant
tesla-dcb4b7a6d154b1b2,0,1,1,0,0,1,exact_label_concordant
tesla-fa74d97b31e5ab38,0,1,1,0,0,1,exact_label_concordant
tesla-08f3b3eb2d029098,1,1,1,1,0,1,exact_label_concordant
tesla-f2a033907dea1a77,0,1,1,0,0,1,exact_label_concordant
tesla-cd72a9710ffb0331,0,1,1,0,0,1,exact_label_concordant
tesla-15d878de54dfa6bf,0,1,1,0,0,1,exact_label_concordant
tesla-707eb38101757d13,0,1,1,0,0,1,exact_label_concordant
tesla-7ee2680775e0f087,0,1,1,0,0,1,exact_label_concordant
tesla-884de2e1da442dc6,0,1,1,0,0,1,exact_label_concordant
tesla-ff3b7b4ff8a1bba1,0,1,1,0,0,1,exact_label_concordant
tesla-96b058801c4154ef,0,1,1,0,0,1,exact_label_concordant
tesla-dd84e5b169378f53,0,1,1,0,0,1,exact_label_concordant
tesla-8fb3114d4994e26c,0,1,1,0,0,1,exact_label_concordant
tesla-021f03fe576d86f9,0,1,1,0,0,1,exact_label_concordant
tesla-63b1c974481b148b,0,1,1,0,0,1,exact_label_concordant
tesla-981e28248f9246f2,0,1,1,0,0,1,exact_label_concordant
tesla-ef58c8b33e6212bf,0,1,1,0,0,1,exact_label_concordant
tesla-6d3804fd6d93af64,0,1,1,0,0,1,exact_label_concordant
tesla-be6a2b03385c184e,0,1,1,0,0,1,exact_label_concordant
tesla-f5731d778d7a0ce0,0,1,1,0,0,1,exact_label_concordant
tesla-29765fd7849aba80,0,1,1,0,0,1,exact_label_concordant
tesla-88e196ffd97f684f,0,1,1,0,0,1,exact_label_concordant
tesla-39300fd8999b35be,0,1,1,0,0,1,exact_label_concordant
tesla-37d9e1823cbcb557,0,1,1,0,0,1,exact_label_concordant
tesla-9dfc6d2ea04c61b8,0,1,1,0,0,1,exact_label_concordant
tesla-05bfe8a4d4ecda24,0,1,1,0,0,1,exact_label_concordant
tesla-d8c52f9f1b1de019,0,1,1,0,0,1,exact_label_concordant
tesla-40dc749ac30165d3,0,1,1,0,0,1,exact_label_concordant
tesla-c386239f2963d9f0,0,1,1,0,0,1,exact_label_concordant
tesla-10982ef2ecc4c390,0,1,1,0,0,1,exact_label_concordant
tesla-f41b6caf8bdbd160,0,1,1,0,0,1,exact_label_concordant
tesla-8f91df273d3e736f,0,1,1,0,0,1,exact_label_concordant
tesla-bb9ef4d56904c047,0,1,1,0,0,1,exact_label_concordant
tesla-a809fdcd4d9b2995,0,1,1,0,0,1,exact_label_concordant
tesla-5009f7745e445ae4,0,1,1,0,0,1,exact_label_concordant
tesla-7cd83bec265b9523,0,1,1,0,0,1,exact_label_concordant
tesla-f244e81c48788c61,0,1,1,0,0,1,exact_label_concordant
tesla-2dc3d4ca3466a72c,0,1,1,0,0,1,exact_label_concordant
tesla-178a7a3aecd9f360,0,1,1,0,0,1,exact_label_concordant
tesla-8842a802396bf3c0,0,1,1,0,0,1,exact_label_concordant
tesla-670ed7e83f5470a2,0,1,1,0,0,1,exact_label_concordant
tesla-0488fc73b2db3f3d,0,1,1,0,0,1,exact_label_concordant
tesla-19d77c44af507ccd,0,1,1,0,0,1,exact_label_concordant
tesla-08c9663aad176deb,0,1,1,0,0,1,exact_label_concordant
tesla-bca6031992e8fbcd,0,1,1,0,0,1,exact_label_concordant
tesla-ebcb63737f9e72b7,0,1,1,0,0,1,exact_label_concordant
tesla-40bf3bc2f438636a,0,1,1,0,0,1,exact_label_concordant
tesla-768fc8a00b2d1d2b,0,1,1,0,0,1,exact_label_concordant
tesla-c6d598fbf345248d,0,1,1,0,0,1,exact_label_concordant
tesla-477064c9b5a26b31,0,1,1,0,0,1,exact_label_concordant
tesla-3f03c2e5a712aa14,0,1,1,0,0,1,exact_label_concordant
tesla-a32b92f527366cf3,1,1,1,1,0,1,exact_label_concordant
tesla-b1dba6429e4579c3,0,1,1,0,0,1,exact_label_concordant
tesla-4d575877c20eb95f,0,1,1,0,0,1,exact_label_concordant
tesla-a2b35a52907aa824,1,1,1,1,0,1,exact_label_concordant
tesla-743ba95af68ca932,0,1,1,0,0,1,exact_label_concordant
tesla-487cef6fa5560e41,0,1,1,0,0,1,exact_label_concordant
tesla-bbf31bdc95777ce9,0,1,1,0,0,1,exact_label_concordant
tesla-cea86752ce437511,0,1,1,0,0,1,exact_label_concordant
tesla-6cb53c2487b004e6,0,1,1,0,0,1,exact_label_concordant
tesla-386f16e3c74012d9,0,1,1,0,0,1,exact_label_concordant
tesla-2dd5563a70fcfc07,0,1,1,0,0,1,exact_label_concordant
tesla-0a1f912ea1c28d50,0,1,1,0,0,1,exact_label_concordant
tesla-7bb49170c1d6bff8,0,1,1,0,0,1,exact_label_concordant
tesla-52b412d560f7e900,0,1,1,0,0,1,exact_label_concordant
tesla-9fbec40b6b932c2d,1,1,1,1,0,1,exact_label_concordant
tesla-aee9f7a0ae659ec8,0,1,1,0,0,1,exact_label_concordant
tesla-b53244d3088b4cf0,0,1,1,0,0,1,exact_label_concordant
tesla-502e0e4ef0e6c777,0,1,1,0,0,1,exact_label_concordant
tesla-711e7034b07ed89b,0,1,1,0,0,1,exact_label_concordant
tesla-fd4d59346074b4c9,0,1,1,0,0,1,exact_label_concordant
tesla-b88c622bb0a03534,0,1,1,0,0,1,exact_label_concordant
