record_id,benchmark_label,exact_peptide_hla_in_prime2_train,peptide_in_prime2_train,matched_training_labels,prime2_random_flag,exact_bigmhc_im_trainval_overlap,near_hamming1_same_hla_prime2_train,near_hamming1_training_peptide_count,classification
improve-e178d14e1e367e42,1,0,0,,,0,0,0,no_overlap
improve-8140c788b1212a4c,1,0,0,,,0,0,0,no_overlap
improve-8c87cb8ce28d6d7f,1,0,0,,,0,0,0,no_overlap
improve-0c0ba035c2b7b311,1,0,0,,,0,0,0,no_overlap
improve-c713b1ec488e643e,1,0,0,,,0,0,0,no_overlap
improve-33f28d4796d1d350,1,0,0,,,0,0,0,no_overlap
improve-d614805cba1ae85f,1,0,0,,,0,0,0,no_overlap
improve-12b7970c2beaac0c,1,0,0,,,0,0,0,no_overlap
improve-c424693ca1d63ff9,1,0,0,,,0,0,0,no_overlap
improve-e183750f970ac87c,1,0,0,,,0,0,0,no_overlap
improve-2821f8571088240a,1,0,0,,,0,0,0,no_overlap
improve-8275ab92d2847f2f,1,0,0,,,0,0,0,no_overlap
improve-f755054f3ff71fa0,1,0,0,,,0,0,0,no_overlap
improve-348b0f3e16996a49,1,0,0,,,0,0,0,no_overlap
improve-b6d2ed97a30a3c30,1,0,0,,,0,0,0,no_overlap
improve-13f0a27ef17000f5,1,0,0,,,0,0,0,no_overlap
improve-1e118e7cb85b41c5,1,0,0,,,0,0,0,no_overlap
improve-942260311f334669,1,0,0,,,0,0,0,no_overlap
improve-18aa819218700cce,1,0,0,,,0,0,0,no_overlap
improve-2ca9efae827db959,1,0,0,,,0,0,0,no_overlap
improve-20f2bc6c894b86d1,1,0,0,,,0,0,0,no_overlap
improve-6306556b81ff1069,1,0,0,,,0,0,0,no_overlap
improve-54f4a11a766c73fe,1,0,0,,,0,0,0,no_overlap
improve-e224439c4dfd2193,1,0,0,,,0,0,0,no_overlap
improve-24e930c462a4a977,1,0,0,,,0,0,0,no_overlap
improve-5efbbc8b4d1b4669,1,0,0,,,0,0,0,no_overlap
improve-db29bfcb45e73cf2,1,0,0,,,0,0,0,no_overlap
