record_id,benchmark_label,exact_prime2_peptide_hla,exact_bigmhc_im_trainval,exact_deepimmuno_peptide_hla,union_known_exact_overlap,prime2_label_conflict,deepimmuno_label_conflict,peptide_only_prime2_different_hla,peptide_only_deepimmuno_different_hla,near_hamming1_prime2_same_hla,near_hamming1_deepimmuno_same_hla,deephlapan_training_overlap
rcc-vaccine-8c2e1ec6d8f675cf,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-6a6ffb8b81ec9208,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-4adeedbe0e35cf09,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-e06799bdf8de8af5,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-969998ab9d8b4dc1,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-a5952e9e71bd27bd,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-6fa3e9ad450e030e,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-8a9041cc55b08e38,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-e11c81feedc5751e,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-fefffdcccca8649c,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-940b62df9c3078c4,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-43742d14e082c2e6,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-769c6b305827c570,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-e74f183589095f61,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-15ab70cb934aad8f,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-c8a8ce5ab15f9d4b,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-f05602883865f4bf,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-b92105a12fb6f028,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-a004075aed453bcf,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-70eb710f90e2973b,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-c81528933be4a147,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-2a2f0b8f959aa3f6,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-74e8a99b7ef86c61,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-88bea2527dd72a1d,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-ff6bbb8d69468a47,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
rcc-vaccine-8ea6c4f21d2c81ee,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
