record_id,benchmark_label,exact_prime2_peptide_hla,exact_bigmhc_im_trainval,exact_deepimmuno_peptide_hla,union_known_exact_overlap,prime2_label_conflict,deepimmuno_label_conflict,peptide_only_prime2_different_hla,peptide_only_deepimmuno_different_hla,near_hamming1_prime2_same_hla,near_hamming1_deepimmuno_same_hla,deephlapan_training_overlap
zhao-vaccine-cc5177931a4be3c3,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-cd9d03017ea06bfb,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-cb103548daf629bf,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-f08d5d9716c87bcf,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-3192c0e3fed93154,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-903b6facc7e442c1,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-b26ed9ae357d0d47,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-963f50e290b7356b,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-552b2d6f0ee562dd,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-2ae867b6e66bd88f,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-ca925cf2e48aec66,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-5a8125604ba2f1ef,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-c6d33472b279f35f,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-64ae25542b695d68,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-e21983e68c841496,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-a9814ac50aac91d7,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-6b3565ce2aee893c,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-216ffedc64136058,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-32c2e9da3e2ffcf5,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-84bf18995ccd3ac7,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-b31446e55ef91111,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-51f51c49a8e26bf5,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-ba3ba0e4df7070c8,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-c539b96ad108688f,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-57a55d88765b75c2,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-a08f55e2c3d0e686,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-663a44a421e57c58,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-75ec8654c437d145,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-c0b18e17fb95b0ce,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-dc56d83b9268b0e4,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-9d4560b23643427b,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-793aed9191a47fb7,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-11c80127a1777f0b,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-0e55ec495f82eb06,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-632e1a6ecee4b189,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-f2940a4e316a4039,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-cdb85d262afa7e9a,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-014bd639c774cd87,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-65e623aadc02d7b4,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-58b739ae69170773,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-7b6f86e747814c45,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-5c1663d10533a1a7,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-5f8659d92cd36359,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-950121b76038c2c0,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-0a56a76ea51563b6,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-6ebe14892da71061,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-dedb75a56ec2b5ba,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-307d7668f3794977,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-a5ba7a2f40a30c73,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-721b23e769b23024,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-ef4ef897001d5f16,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-1754863200e530d4,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-c4347419983fbf7a,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-20994a61ffa7d9ee,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-c4933d5b027e3a50,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-769bcab9bf9ccbd6,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-e3d2d037340b51d9,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-7c5cedc69e322fdf,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-bb7e738de16de201,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-3c7c00959cdbd0be,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-5f357bb53e0ccd46,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-b4ff6ed193ff01e1,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-a3b89c628988d1f0,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-6602303a8186d1dc,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-f261f0bff4da5636,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-a7ca659448536804,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-115765bd03d87a4c,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-4e3e4eefd195b820,1,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-d7de270e64839b12,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-8bf05f928c2bd4e9,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-05c56392726f06f7,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-b560b39a749dc71f,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
zhao-vaccine-56be5b3de62021b3,0,0,0,0,0,0,0,0,0,0,0,unknown_official_row_manifest_unavailable
