left,right,task,metric,n_common,positives_common,patients_common,left_value_common,right_value_common,difference_left_minus_right,ci_low,ci_high
HLA+peptide LR LOPO,HLA-only LOPO,immunogenicity_lopo,auroc,520,35,6,0.46005891016200295,0.3415905743740795,0.11846833578792343,-0.12688645346748118,0.17933810375670844
HLA+peptide LR LOPO,HLA-only LOPO,immunogenicity_lopo,average_precision,520,35,6,0.06248310342369943,0.0534467210422021,0.00903638238149733,-0.00763366864855268,0.028149997711531836
HLA+peptide LR LOPO,HLA-only LOPO,immunogenicity_lopo,hitrate@10,520,35,6,0.5,0.3333333333333333,0.16666666666666669,-0.5,0.6666666666666667
HLA+peptide LR LOPO,HLA-only LOPO,immunogenicity_lopo,hitrate@20,520,35,6,0.6666666666666666,1.0,-0.33333333333333337,-0.6666666666666667,0.0
HLA+peptide LR LOPO,HLA-only LOPO,immunogenicity_lopo,hitrate@5,520,35,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,-0.33333333333333337,0.6666666666666666
HLA+peptide LR LOPO,HLA-only LOPO,immunogenicity_lopo,mrr,520,35,6,0.14057971014492754,0.12196368446368445,0.018616025681243084,-0.08891764435242695,0.1261651452412321
HLA+peptide LR LOPO,HLA-only LOPO,immunogenicity_lopo,ndcg@10,520,35,6,0.07298004111551085,0.043014473105328785,0.02996556801018206,-0.05887440035987344,0.1115004484743572
HLA+peptide LR LOPO,HLA-only LOPO,immunogenicity_lopo,ndcg@20,520,35,6,0.13156715665798022,0.11165471454336551,0.01991244211461471,-0.07585587949083802,0.11047225240007849
HLA+peptide LR LOPO,HLA-only LOPO,immunogenicity_lopo,ndcg@5,520,35,6,0.05439918375139877,0.02826335043946801,0.026135833311930763,-0.0629225383996804,0.11946252541674905
HLA+peptide LR LOPO,HLA-only LOPO,immunogenicity_lopo,precision@10,520,35,6,0.06666666666666667,0.03333333333333333,0.03333333333333333,-0.03333333333333334,0.08333333333333334
HLA+peptide LR LOPO,HLA-only LOPO,immunogenicity_lopo,precision@20,520,35,6,0.07500000000000001,0.058333333333333334,0.016666666666666677,-0.025,0.06666666666666665
HLA+peptide LR LOPO,HLA-only LOPO,immunogenicity_lopo,precision@5,520,35,6,0.06666666666666667,0.03333333333333333,0.03333333333333333,-0.06666666666666668,0.13333333333333333
HLA+peptide LR LOPO,HLA-only LOPO,immunogenicity_lopo,recall@10,520,35,6,0.08796296296296297,0.06944444444444445,0.018518518518518517,-0.14814814814814814,0.14814814814814814
HLA+peptide LR LOPO,HLA-only LOPO,immunogenicity_lopo,recall@20,520,35,6,0.23148148148148148,0.24074074074074073,-0.009259259259259245,-0.19444444444444442,0.15740740740740738
HLA+peptide LR LOPO,HLA-only LOPO,immunogenicity_lopo,recall@5,520,35,6,0.06018518518518518,0.013888888888888888,0.046296296296296294,-0.027777777777777776,0.14351851851851852
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,auroc,520,35,6,0.46005891016200295,0.4840942562592047,-0.02403534609720176,-0.09426429058330893,0.02580645161290318
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,average_precision,520,35,6,0.06248310342369943,0.06369748472418557,-0.0012143813004861434,-0.00566123416237685,0.01117359474838334
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,hitrate@10,520,35,6,0.5,0.3333333333333333,0.16666666666666669,0.0,0.5
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,hitrate@20,520,35,6,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.5,0.0
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,hitrate@5,520,35,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.5
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,mrr,520,35,6,0.14057971014492754,0.10596866096866096,0.034611049176266576,-0.0036553945249597347,0.07792688591601629
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,ndcg@10,520,35,6,0.07298004111551085,0.0410876342082988,0.03189240690721205,0.004510414787488901,0.06061868707931922
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,ndcg@20,520,35,6,0.13156715665798022,0.10187409146562658,0.029693065192353638,-0.029000291474794368,0.08621417218233682
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,ndcg@5,520,35,6,0.05439918375139877,0.02802125604518624,0.026377927706212532,0.0,0.07011295354365979
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,precision@10,520,35,6,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666668
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,precision@20,520,35,6,0.07500000000000001,0.058333333333333334,0.016666666666666677,-0.01666666666666667,0.05833333333333332
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,precision@5,520,35,6,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.1
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,recall@10,520,35,6,0.08796296296296297,0.05555555555555555,0.03240740740740741,0.0,0.06944444444444445
