left,right,task,metric,n_common,positives_common,patients_common,left_value_common,right_value_common,difference_left_minus_right,ci_low,ci_high
HLA+peptide LR LOPO,HLA-only LR LOPO,immunogenicity_lopo,auroc,17475,465,70,0.6343847705018554,0.562322289861119,0.07206248064073639,0.0432272336198909,0.10077865151752015
HLA+peptide LR LOPO,HLA-only LR LOPO,immunogenicity_lopo,average_precision,17475,465,70,0.048847085547106955,0.03802950148325792,0.010817584063849035,0.0013040512335336714,0.021318739789603722
HLA+peptide LR LOPO,HLA-only LR LOPO,immunogenicity_lopo,hitrate@10,17475,465,70,0.5833333333333334,0.3241702939840256,0.2591630393493078,0.1561631429974733,0.3661550244802481
HLA+peptide LR LOPO,HLA-only LR LOPO,immunogenicity_lopo,hitrate@20,17475,465,70,0.6666666666666666,0.4962937058813608,0.17037296078530584,0.08526341930256828,0.2613709238066563
HLA+peptide LR LOPO,HLA-only LR LOPO,immunogenicity_lopo,hitrate@5,17475,465,70,0.31666666666666665,0.19168103601308425,0.1249856306535824,0.02573337786382624,0.24086538865079202
HLA+peptide LR LOPO,HLA-only LR LOPO,immunogenicity_lopo,mrr,17475,465,70,0.2573270202401471,0.13187818435593066,0.12544883588421643,0.053615353704524124,0.20699299010461514
HLA+peptide LR LOPO,HLA-only LR LOPO,immunogenicity_lopo,ndcg@10,17475,465,70,0.11260430106055445,0.05544322396267425,0.0571610770978802,0.02919128458541056,0.08672210872874804
HLA+peptide LR LOPO,HLA-only LR LOPO,immunogenicity_lopo,ndcg@20,17475,465,70,0.14292891991765655,0.07953454882823269,0.06339437108942386,0.0330266870021765,0.0974934892604656
HLA+peptide LR LOPO,HLA-only LR LOPO,immunogenicity_lopo,ndcg@5,17475,465,70,0.09574871169202374,0.046264237753205706,0.04948447393881804,0.01577981645909171,0.0867659236192426
HLA+peptide LR LOPO,HLA-only LR LOPO,immunogenicity_lopo,precision@10,17475,465,70,0.085,0.04431359387664594,0.040686406123354064,0.021745338836508022,0.06092781505166672
HLA+peptide LR LOPO,HLA-only LR LOPO,immunogenicity_lopo,precision@20,17475,465,70,0.07166666666666667,0.044919654482706545,0.026747012183960125,0.01282387235798424,0.041761184872791436
HLA+peptide LR LOPO,HLA-only LR LOPO,immunogenicity_lopo,precision@5,17475,465,70,0.08333333333333334,0.04431359387664594,0.0390197394566874,0.010404583887577357,0.07079106246187
HLA+peptide LR LOPO,HLA-only LR LOPO,immunogenicity_lopo,recall@10,17475,465,70,0.11347464221009647,0.05915812678980218,0.05431651542029429,0.02095443039701796,0.09091761560448085
HLA+peptide LR LOPO,HLA-only LR LOPO,immunogenicity_lopo,recall@20,17475,465,70,0.2058372635824728,0.1213465566099074,0.08449070697256542,0.0329379099352948,0.14927716608616526
HLA+peptide LR LOPO,HLA-only LR LOPO,immunogenicity_lopo,recall@5,17475,465,70,0.04839984194907063,0.02957906339490109,0.018820778554169536,-0.00011042603165881617,0.04106000911749209
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,auroc,17475,465,70,0.6343847705018554,0.6283226185735147,0.006062151928340698,-0.02726384106308529,0.03987202282874768
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,average_precision,17475,465,70,0.048847085547106955,0.046875818599155246,0.0019712669479517095,-0.008447824496845195,0.011326186671004641
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,hitrate@10,17475,465,70,0.5833333333333334,0.45,0.13333333333333336,0.0,0.27122496147919856
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,hitrate@20,17475,465,70,0.6666666666666666,0.6333333333333333,0.033333333333333326,-0.10344827586206895,0.15877976190476165
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,hitrate@5,17475,465,70,0.31666666666666665,0.31666666666666665,0.0,-0.10772727272727274,0.1016949152542373
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,mrr,17475,465,70,0.2573270202401471,0.25012340938813493,0.0072036108520121545,-0.07287285962184244,0.08286646815910921
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,ndcg@10,17475,465,70,0.11260430106055445,0.11701709766513434,-0.004412796604579883,-0.038038561847143756,0.028067246340345093
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,ndcg@20,17475,465,70,0.14292891991765655,0.1459883779160683,-0.0030594579984117576,-0.041580528827991056,0.03469832763901281
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,ndcg@5,17475,465,70,0.09574871169202374,0.10602336890466177,-0.010274657212638025,-0.048478099238820044,0.0274142508981307
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,precision@10,17475,465,70,0.085,0.083,0.0020000000000000018,-0.016949152542372885,0.020312499999999997
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,precision@20,17475,465,70,0.07166666666666667,0.07229166666666667,-0.0006250000000000006,-0.01631555640455682,0.015873436238902344
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,precision@5,17475,465,70,0.08333333333333334,0.09166666666666667,-0.008333333333333331,-0.04091095380029806,0.0230833333333333
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,recall@10,17475,465,70,0.11347464221009647,0.11818160611644385,-0.004706963906347381,-0.0591545174571619,0.042768502687826025
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,recall@20,17475,465,70,0.2058372635824728,0.21154286614806259,-0.0057056025655897735,-0.0728350385466207,0.057860254892542234
HLA+peptide LR LOPO,Peptide LR LOPO,immunogenicity_lopo,recall@5,17475,465,70,0.04839984194907063,0.05441761648224497,-0.0060177745331743415,-0.032539747818009876,0.01553704952974984
HLA-only LR LOPO,Peptide LR LOPO,immunogenicity_lopo,auroc,17475,465,70,0.562322289861119,0.6283226185735147,-0.0660003287123957,-0.11832890982241072,-0.013342082465851564
HLA-only LR LOPO,Peptide LR LOPO,immunogenicity_lopo,average_precision,17475,465,70,0.03802950148325792,0.046875818599155246,-0.008846317115897326,-0.023381279249302375,0.005429276260053588
HLA-only LR LOPO,Peptide LR LOPO,immunogenicity_lopo,hitrate@10,17475,465,70,0.3241702939840256,0.45,-0.12582970601597443,-0.2732621449104854,0.017708865829779225
HLA-only LR LOPO,Peptide LR LOPO,immunogenicity_lopo,hitrate@20,17475,465,70,0.4962937058813608,0.6333333333333333,-0.1370396274519725,-0.27083766623619915,-0.00424252670827134
HLA-only LR LOPO,Peptide LR LOPO,immunogenicity_lopo,hitrate@5,17475,465,70,0.19168103601308425,0.31666666666666665,-0.1249856306535824,-0.2528735344590615,-0.002628648721055054
HLA-only LR LOPO,Peptide LR LOPO,immunogenicity_lopo,mrr,17475,465,70,0.13187818435593066,0.25012340938813493,-0.11824522503220428,-0.2111754582389387,-0.0315827093793508
HLA-only LR LOPO,Peptide LR LOPO,immunogenicity_lopo,ndcg@10,17475,465,70,0.05544322396267425,0.11701709766513434,-0.061573873702460084,-0.10753137077430959,-0.02009169118529757
HLA-only LR LOPO,Peptide LR LOPO,immunogenicity_lopo,ndcg@20,17475,465,70,0.07953454882823269,0.1459883779160683,-0.06645382908783562,-0.11709273407121512,-0.022840850217881428
HLA-only LR LOPO,Peptide LR LOPO,immunogenicity_lopo,ndcg@5,17475,465,70,0.046264237753205706,0.10602336890466177,-0.05975913115145606,-0.10841227836082305,-0.016267059525814625
HLA-only LR LOPO,Peptide LR LOPO,immunogenicity_lopo,precision@10,17475,465,70,0.04431359387664594,0.083,-0.03868640612335406,-0.06675304151403763,-0.010740974429773268
HLA-only LR LOPO,Peptide LR LOPO,immunogenicity_lopo,precision@20,17475,465,70,0.044919654482706545,0.07229166666666667,-0.027372012183960126,-0.05052328585231764,-0.005996993293902756
HLA-only LR LOPO,Peptide LR LOPO,immunogenicity_lopo,precision@5,17475,465,70,0.04431359387664594,0.09166666666666667,-0.04735307279002073,-0.08744525528113761,-0.011389367329959632
HLA-only LR LOPO,Peptide LR LOPO,immunogenicity_lopo,recall@10,17475,465,70,0.05915812678980218,0.11818160611644385,-0.05902347932664167,-0.11463921312886032,-0.010987650944993977
HLA-only LR LOPO,Peptide LR LOPO,immunogenicity_lopo,recall@20,17475,465,70,0.1213465566099074,0.21154286614806259,-0.09019630953815519,-0.1667874400316495,-0.020624254502470137
