left,right,task,metric,n_common,positives_common,patients_common,left_value_common,right_value_common,difference_left_minus_right,ci_low,ci_high
HLA+peptide LR LOSO,HLA-only LR LOSO,immunogenicity_loso,auroc,17475,465,70,0.5948543235162113,0.5459065192518,0.048947804264411254,0.020457464895754698,0.07937486042024944
HLA+peptide LR LOSO,HLA-only LR LOSO,immunogenicity_loso,average_precision,17475,465,70,0.0426919329134588,0.032614680056597,0.010077252856861799,0.0031023328080865167,0.020747831469716746
HLA+peptide LR LOSO,HLA-only LR LOSO,immunogenicity_loso,hitrate@10,17475,465,70,0.4666666666666667,0.2979086632025005,0.1687580034641662,0.07155554235306978,0.2774480293319457
HLA+peptide LR LOSO,HLA-only LR LOSO,immunogenicity_loso,hitrate@20,17475,465,70,0.6166666666666667,0.47210862793233316,0.14455803873433354,0.039983410998719326,0.24345803450121287
HLA+peptide LR LOSO,HLA-only LR LOSO,immunogenicity_loso,hitrate@5,17475,465,70,0.35,0.16997512612276583,0.18002487387723415,0.07716133175732295,0.28800506073439314
HLA+peptide LR LOSO,HLA-only LR LOSO,immunogenicity_loso,mrr,17475,465,70,0.2580132196089212,0.12138679992279434,0.13662641968612688,0.06263029181255392,0.21962079097314244
HLA+peptide LR LOSO,HLA-only LR LOSO,immunogenicity_loso,ndcg@10,17475,465,70,0.10690719591544118,0.0509966130685172,0.055910582846923976,0.02846771961923004,0.08615472760019419
HLA+peptide LR LOSO,HLA-only LR LOSO,immunogenicity_loso,ndcg@20,17475,465,70,0.13326290763349447,0.07317468265746373,0.06008822497603074,0.03135873418626387,0.09056310898748074
HLA+peptide LR LOSO,HLA-only LR LOSO,immunogenicity_loso,ndcg@5,17475,465,70,0.09992010055282904,0.04159745451771191,0.05832264603511714,0.025782275188904233,0.09329060029745202
HLA+peptide LR LOSO,HLA-only LR LOSO,immunogenicity_loso,precision@10,17475,465,70,0.07916666666666666,0.03803862528134434,0.04112804138532232,0.020686739564114716,0.06401784999313889
HLA+peptide LR LOSO,HLA-only LR LOSO,immunogenicity_loso,precision@20,17475,465,70,0.07083333333333333,0.03808248493046715,0.032750848402866184,0.015999736614523856,0.050405995011715395
HLA+peptide LR LOSO,HLA-only LR LOSO,immunogenicity_loso,precision@5,17475,465,70,0.08666666666666667,0.03803862528134434,0.048628041385322326,0.0213051106695626,0.0783005935087021
HLA+peptide LR LOSO,HLA-only LR LOSO,immunogenicity_loso,recall@10,17475,465,70,0.10033729693119038,0.05961413544748199,0.040723161483708394,0.01119386649032003,0.07329717629672271
HLA+peptide LR LOSO,HLA-only LR LOSO,immunogenicity_loso,recall@20,17475,465,70,0.17187665795824758,0.11937446972537334,0.05250218823287424,0.007045304398280664,0.0969215226731168
HLA+peptide LR LOSO,HLA-only LR LOSO,immunogenicity_loso,recall@5,17475,465,70,0.05494364536787404,0.029807067723740994,0.02513657764413305,0.0029390636108198695,0.04945687861432687
HLA+peptide LR LOSO,Peptide LR LOSO,immunogenicity_loso,auroc,17475,465,70,0.5948543235162113,0.6188880671078999,-0.02403374359168864,-0.06339992272149965,0.015856466810683638
HLA+peptide LR LOSO,Peptide LR LOSO,immunogenicity_loso,average_precision,17475,465,70,0.0426919329134588,0.04488912649824684,-0.0021971935847880444,-0.010770780756085853,0.008134134304698228
HLA+peptide LR LOSO,Peptide LR LOSO,immunogenicity_loso,hitrate@10,17475,465,70,0.4666666666666667,0.45,0.016666666666666663,-0.09836065573770492,0.1273167155425218
HLA+peptide LR LOSO,Peptide LR LOSO,immunogenicity_loso,hitrate@20,17475,465,70,0.6166666666666667,0.5833333333333334,0.033333333333333326,-0.08932629870129873,0.15517241379310343
HLA+peptide LR LOSO,Peptide LR LOSO,immunogenicity_loso,hitrate@5,17475,465,70,0.35,0.2916666666666667,0.05833333333333329,-0.03448275862068961,0.15384615384615383
HLA+peptide LR LOSO,Peptide LR LOSO,immunogenicity_loso,mrr,17475,465,70,0.2580132196089212,0.2060379930533435,0.05197522655557771,-0.024532424987950337,0.1282996253126007
HLA+peptide LR LOSO,Peptide LR LOSO,immunogenicity_loso,ndcg@10,17475,465,70,0.10690719591544118,0.10329449749236344,0.003612698423077737,-0.025988054059977353,0.035371420451524464
HLA+peptide LR LOSO,Peptide LR LOSO,immunogenicity_loso,ndcg@20,17475,465,70,0.13326290763349447,0.13007923122688464,0.0031836764066098255,-0.031152731601539863,0.037255786595359934
HLA+peptide LR LOSO,Peptide LR LOSO,immunogenicity_loso,ndcg@5,17475,465,70,0.09992010055282904,0.08624215640883011,0.013677944143998935,-0.01777065475939925,0.045118767142931934
HLA+peptide LR LOSO,Peptide LR LOSO,immunogenicity_loso,precision@10,17475,465,70,0.07916666666666666,0.08633333333333333,-0.007166666666666668,-0.027499999999999997,0.015695454545454523
HLA+peptide LR LOSO,Peptide LR LOSO,immunogenicity_loso,precision@20,17475,465,70,0.07083333333333333,0.07083333333333333,0.0,-0.013890027322404365,0.01428571428571429
HLA+peptide LR LOSO,Peptide LR LOSO,immunogenicity_loso,precision@5,17475,465,70,0.08666666666666667,0.08222222222222222,0.004444444444444445,-0.023503056404556823,0.03114754098360656
HLA+peptide LR LOSO,Peptide LR LOSO,immunogenicity_loso,recall@10,17475,465,70,0.10033729693119038,0.10534099765083538,-0.005003700719644996,-0.04396245631017302,0.03553267380973812
HLA+peptide LR LOSO,Peptide LR LOSO,immunogenicity_loso,recall@20,17475,465,70,0.17187665795824758,0.19087821976360195,-0.019001561805354367,-0.08353079239282275,0.042516123849899154
HLA+peptide LR LOSO,Peptide LR LOSO,immunogenicity_loso,recall@5,17475,465,70,0.05494364536787404,0.04305045836052295,0.011893187007351091,-0.009024639249381839,0.035618348876926255
HLA-only LR LOSO,Peptide LR LOSO,immunogenicity_loso,auroc,17475,465,70,0.5459065192518,0.6188880671078999,-0.0729815478560999,-0.12875313741264985,-0.015537675879811655
