left,right,task,metric,n_common,positives_common,patients_common,left_value_common,right_value_common,difference_left_minus_right,ci_low,ci_high
BigMHC,PRIME,immunogenicity,auroc,17440,464,70,0.5451536296678475,0.5962768939517047,-0.05112326428385716,-0.09208135581210583,-0.007775698279297643
BigMHC,PRIME,immunogenicity,average_precision,17440,464,70,0.03168433497806979,0.03950436924868143,-0.007820034270611634,-0.01687301958278144,-0.0007172073562236994
BigMHC,PRIME,immunogenicity,hitrate@10,17440,464,70,0.38333333333333336,0.48333333333333334,-0.09999999999999998,-0.2419354838709677,0.04918032786885246
BigMHC,PRIME,immunogenicity,hitrate@20,17440,464,70,0.6,0.7,-0.09999999999999998,-0.2142857142857143,0.01694915254237284
BigMHC,PRIME,immunogenicity,hitrate@5,17440,464,70,0.21666666666666667,0.35,-0.1333333333333333,-0.2712249614791988,0.0
BigMHC,PRIME,immunogenicity,mrr,17440,464,70,0.18012307209333414,0.212032849396242,-0.031909777302907866,-0.11836977453583092,0.057584532587463225
BigMHC,PRIME,immunogenicity,ndcg@10,17440,464,70,0.0778599427109938,0.1119592607262639,-0.034099318015270094,-0.073745379964503,0.006438278997035955
BigMHC,PRIME,immunogenicity,ndcg@20,17440,464,70,0.10337542318970296,0.15115428649810322,-0.04777886330840027,-0.08653657001922378,-0.008577442762943959
BigMHC,PRIME,immunogenicity,ndcg@5,17440,464,70,0.05999687767867254,0.09908070239863123,-0.03908382471995869,-0.08595963282450478,0.00877791891781991
BigMHC,PRIME,immunogenicity,precision@10,17440,464,70,0.05333333333333334,0.08,-0.026666666666666665,-0.05,-0.005084745762711867
BigMHC,PRIME,immunogenicity,precision@20,17440,464,70,0.04833333333333333,0.07,-0.021666666666666674,-0.038709677419354833,-0.005930957128614168
BigMHC,PRIME,immunogenicity,precision@5,17440,464,70,0.04666666666666667,0.10333333333333333,-0.056666666666666664,-0.09526455026455029,-0.019991803278688575
BigMHC,PRIME,immunogenicity,recall@10,17440,464,70,0.07884220626867686,0.13439881633960582,-0.05555661007092896,-0.11392996669626779,-0.0030021905986799065
BigMHC,PRIME,immunogenicity,recall@20,17440,464,70,0.14526966526192533,0.25951379903779287,-0.11424413377586753,-0.18672131749168178,-0.0445877321686607
BigMHC,PRIME,immunogenicity,recall@5,17440,464,70,0.03804563492063492,0.058938290023816335,-0.020892655103181418,-0.04921667171932762,0.009518724498420048
