left,right,task,metric,n_common,positives_common,patients_common,left_value_common,right_value_common,difference_left_minus_right,ci_low,ci_high
BigMHC,DeepHLApan,immunogenicity,auroc,15234,411,70,0.5473864923206571,0.507933764405385,0.0394527279152721,-0.030671229346408195,0.11110844973365193
BigMHC,DeepHLApan,immunogenicity,average_precision,15234,411,70,0.03273558646002369,0.030189894151236043,0.002545692308787647,-0.009239117453851984,0.012569411972642037
BigMHC,DeepHLApan,immunogenicity,hitrate@10,15234,411,70,0.4576271186440678,0.23728813559322035,0.22033898305084745,0.06779661016949151,0.3801724137931034
BigMHC,DeepHLApan,immunogenicity,hitrate@20,15234,411,70,0.6440677966101694,0.4067796610169492,0.23728813559322026,0.1333333333333333,0.34962301587301586
BigMHC,DeepHLApan,immunogenicity,hitrate@5,15234,411,70,0.2542372881355932,0.13559322033898305,0.11864406779661016,-0.01785714285714285,0.2523863636363635
BigMHC,DeepHLApan,immunogenicity,mrr,15234,411,70,0.19875514441408423,0.08304957765281437,0.11570556676126986,0.04510505072854319,0.1954220376819928
BigMHC,DeepHLApan,immunogenicity,ndcg@10,15234,411,70,0.08832856137958059,0.036714305343595495,0.051614256035985094,0.013213013125574526,0.09424767903428835
BigMHC,DeepHLApan,immunogenicity,ndcg@20,15234,411,70,0.11776733424221655,0.06287420822144431,0.054893126020772245,0.016660914081073577,0.09557898188291196
BigMHC,DeepHLApan,immunogenicity,ndcg@5,15234,411,70,0.06958795373149147,0.023119870216435093,0.04646808351505638,0.011365917595664207,0.08547684342044765
BigMHC,DeepHLApan,immunogenicity,precision@10,15234,411,70,0.0576271186440678,0.03220338983050847,0.025423728813559324,0.001652322404371587,0.04736979969183359
BigMHC,DeepHLApan,immunogenicity,precision@20,15234,411,70,0.05338983050847458,0.03898305084745763,0.014406779661016951,-0.0008268442622950829,0.029916666666666668
BigMHC,DeepHLApan,immunogenicity,precision@5,15234,411,70,0.054237288135593226,0.027118644067796613,0.027118644067796613,-0.00350877192982456,0.05692090395480223
BigMHC,DeepHLApan,immunogenicity,recall@10,15234,411,70,0.09148901945512115,0.051537686963645926,0.03995133249147523,-0.013479103611783698,0.08440357054465153
BigMHC,DeepHLApan,immunogenicity,recall@20,15234,411,70,0.166508324414212,0.11316138886388663,0.05334693555032538,-0.007942010946043201,0.11024099082134796
BigMHC,DeepHLApan,immunogenicity,recall@5,15234,411,70,0.0489581040428498,0.016421023222985755,0.03253708081986405,0.005792968315106272,0.06050986699444422
BigMHC,DeepImmuno-CNN,immunogenicity,auroc,11036,316,70,0.5495521797657283,0.5274064802569431,0.0221456995087852,-0.04975463739991624,0.09082584283322193
BigMHC,DeepImmuno-CNN,immunogenicity,average_precision,11036,316,70,0.03528135771992518,0.033266064468264245,0.0020152932516609365,-0.007930866240104854,0.011938840314365543
BigMHC,DeepImmuno-CNN,immunogenicity,hitrate@10,11036,316,70,0.43103448275862066,0.25862068965517243,0.17241379310344823,0.03360169491525422,0.30357142857142855
BigMHC,DeepImmuno-CNN,immunogenicity,hitrate@20,11036,316,70,0.6379310344827587,0.5344827586206896,0.10344827586206906,0.0,0.21818181818181817
BigMHC,DeepImmuno-CNN,immunogenicity,hitrate@5,11036,316,70,0.27586206896551724,0.10344827586206896,0.1724137931034483,0.043194444444444466,0.3096211365902291
BigMHC,DeepImmuno-CNN,immunogenicity,mrr,11036,316,70,0.21896884778455486,0.08983207516094344,0.12913677262361142,0.05338472921956455,0.21092426762789218
BigMHC,DeepImmuno-CNN,immunogenicity,ndcg@10,11036,316,70,0.10893592556724979,0.04337073472232955,0.06556519084492024,0.024764890018989592,0.10605205694255104
BigMHC,DeepImmuno-CNN,immunogenicity,ndcg@20,11036,316,70,0.15708814475365895,0.08512108175139478,0.07196706300226417,0.022796834199154698,0.11520765894433219
BigMHC,DeepImmuno-CNN,immunogenicity,ndcg@5,11036,316,70,0.08496250574908941,0.020675961449495302,0.0642865442995941,0.02438582787719396,0.10797887636081979
BigMHC,DeepImmuno-CNN,immunogenicity,precision@10,11036,316,70,0.056896551724137934,0.034482758620689655,0.02241379310344828,0.0019035947712418317,0.04312119675456389
BigMHC,DeepImmuno-CNN,immunogenicity,precision@20,11036,316,70,0.05718390804597701,0.044252873563218394,0.012931034482758619,-0.005985900058445351,0.029754305631492617
