left,right,task,metric,n_common,positives_common,patients_common,left_value_common,right_value_common,difference_left_minus_right,ci_low,ci_high
BigMHC,PRIME,immunogenicity,auroc,17475,465,70,0.5458288293413741,0.5969085863470571,-0.05107975700568301,-0.09216109070862642,-0.007728222469350853
BigMHC,PRIME,immunogenicity,average_precision,17475,465,70,0.03186133541911459,0.039638725720073424,-0.007777390300958836,-0.01684074393543032,-0.0006004169764923337
BigMHC,PRIME,immunogenicity,hitrate@10,17475,465,70,0.38333333333333336,0.48333333333333334,-0.09999999999999998,-0.2419354838709677,0.04918032786885246
BigMHC,PRIME,immunogenicity,hitrate@20,17475,465,70,0.6,0.7,-0.09999999999999998,-0.2142857142857143,0.01694915254237284
BigMHC,PRIME,immunogenicity,hitrate@5,17475,465,70,0.21666666666666667,0.35,-0.1333333333333333,-0.2712249614791988,0.0
BigMHC,PRIME,immunogenicity,mrr,17475,465,70,0.179799793455899,0.2118375315199005,-0.03203773806400151,-0.11850015573659703,0.05702018960577634
BigMHC,PRIME,immunogenicity,ndcg@10,17475,465,70,0.07780339513492723,0.1119592607262639,-0.03415586559133667,-0.07374672633536174,0.006436910910518223
BigMHC,PRIME,immunogenicity,ndcg@20,17475,465,70,0.10393761632591698,0.15170159598198435,-0.047763979656067365,-0.08653882964682626,-0.008579696667541232
BigMHC,PRIME,immunogenicity,ndcg@5,17475,465,70,0.05999687767867254,0.09908070239863123,-0.03908382471995869,-0.08595963282450478,0.00877791891781991
BigMHC,PRIME,immunogenicity,precision@10,17475,465,70,0.05333333333333334,0.08,-0.026666666666666665,-0.05,-0.005084745762711867
BigMHC,PRIME,immunogenicity,precision@20,17475,465,70,0.04916666666666667,0.07083333333333333,-0.02166666666666666,-0.038709677419354833,-0.005930957128614168
BigMHC,PRIME,immunogenicity,precision@5,17475,465,70,0.04666666666666667,0.10333333333333333,-0.056666666666666664,-0.09526455026455029,-0.019991803278688575
BigMHC,PRIME,immunogenicity,recall@10,17475,465,70,0.07884220626867686,0.13437829088804587,-0.055536084619369014,-0.1139294619720491,-0.002983728978855778
BigMHC,PRIME,immunogenicity,recall@20,17475,465,70,0.1458033270024836,0.2600474607783511,-0.1142441337758675,-0.18672131749168178,-0.044587732168660715
BigMHC,PRIME,immunogenicity,recall@5,17475,465,70,0.03804563492063492,0.058917764572256406,-0.02087212965162149,-0.04917484913513216,0.009519246331934279
