split_unit,held_out_group,train_rows,train_positives,test_rows,test_positives,unseen_test_hlas
patient_id,BC-1233,17275,462,200,3,0
patient_id,BC-1249,17275,463,200,2,1
patient_id,BC-1849,17275,450,200,15,0
patient_id,BC-1994,17275,458,200,7,0
patient_id,BC-2131,17064,454,411,11,0
patient_id,BC-2278,17275,458,200,7,0
patient_id,BC-2389,17272,460,203,5,0
patient_id,BC-2849,17057,459,418,6,0
patient_id,BC-2937,17153,454,322,11,0
patient_id,BC-3529,17275,458,200,7,1
patient_id,BC-40,16899,460,576,5,0
patient_id,BC-471,17275,465,200,0,0
patient_id,BC-5037,16888,452,587,13,0
patient_id,BC-5122,17275,464,200,1,0
patient_id,BC-522,17275,461,200,4,1
patient_id,BC-5338,17275,464,200,1,0
patient_id,BC-6229,17225,446,250,19,0
patient_id,BC-6428,17275,465,200,0,0
patient_id,BC-6800,17261,459,214,6,0
patient_id,BC-7577,17275,464,200,1,0
patient_id,BC-7729,17275,459,200,6,0
patient_id,BC-8728,17275,458,200,7,0
patient_id,BC-9517,17221,456,254,9,0
patient_id,BC-9723,17275,464,200,1,0
patient_id,Neye-01,17275,463,200,2,0
patient_id,Neye-02,17276,464,199,1,0
patient_id,Neye-03,17064,459,411,6,0
patient_id,Neye-06,17275,465,200,0,0
patient_id,Neye-11,17275,465,200,0,0
patient_id,Neye-14,17275,453,200,12,0
patient_id,Neye-15,17227,465,248,0,0
patient_id,Neye-16,17308,464,167,1,0
patient_id,Neye-17,17275,458,200,7,0
patient_id,Neye-22,16892,453,583,12,0
patient_id,Neye-24,17275,459,200,6,1
patient_id,Neye-25,17275,457,200,8,0
patient_id,Neye-26,17182,439,293,26,0
patient_id,Neye-27,17324,462,151,3,0
patient_id,Neye-29,17275,464,200,1,0
patient_id,Neye-31,17275,449,200,16,0
patient_id,Neye-34,17275,458,200,7,0
patient_id,Neye-35,17318,456,157,9,0
patient_id,Neye-36,17275,449,200,16,0
patient_id,Neye-37,17276,465,199,0,0
patient_id,Neye-40,17275,452,200,13,0
patient_id,Neye-42,17161,445,314,20,0
patient_id,Neye-43,17316,464,159,1,1
patient_id,Neye-45,17276,446,199,19,1
patient_id,Neye-46,17275,463,200,2,0
patient_id,Neye-47,17275,451,200,14,0
patient_id,RH-08,17172,460,303,5,0
patient_id,RH-10,17288,464,187,1,0
patient_id,RH-11,16614,447,861,18,0
patient_id,RH-13,17216,464,259,1,0
patient_id,RH-15,17405,465,70,0,0
patient_id,RH-16,17269,458,206,7,0
patient_id,RH-17,17256,465,219,0,0
patient_id,RH-18,17296,465,179,0,0
patient_id,RH-19,17022,462,453,3,0
patient_id,RH-21,17124,463,351,2,0
patient_id,RH-22,17375,465,100,0,0
patient_id,RH-24,17373,458,102,7,0
patient_id,RH-25,17395,457,80,8,0
patient_id,RH-27,17400,461,75,4,0
patient_id,RH-29,17386,463,89,2,0
patient_id,RH-30,17400,464,75,1,0
patient_id,RH-31,16383,448,1092,17,0
patient_id,RH-33,17012,436,463,29,0
patient_id,RH-34,17403,459,72,6,0
patient_id,RH-35,17351,460,124,5,0
