left,right,task,metric,n_common,positives_common,patients_common,left_value_common,right_value_common,difference_left_minus_right,ci_low,ci_high
BigMHC,PRIME,immunogenicity,auroc,17457,463,70,0.5463723570585578,0.5959065466124367,-0.04953418955387889,-0.09028394644135934,-0.005571772811015889
BigMHC,PRIME,immunogenicity,average_precision,17457,463,70,0.03180240566708497,0.03944557860693173,-0.00764317293984676,-0.016691321197734324,-0.0004495652976370504
BigMHC,PRIME,immunogenicity,hitrate@10,17457,463,70,0.4,0.4666666666666667,-0.06666666666666665,-0.2068965517241379,0.08200136612021842
BigMHC,PRIME,immunogenicity,hitrate@20,17457,463,70,0.5833333333333334,0.6833333333333333,-0.09999999999999998,-0.2281061259706644,0.01950757575757418
BigMHC,PRIME,immunogenicity,hitrate@5,17457,463,70,0.21666666666666667,0.35,-0.1333333333333333,-0.2712249614791988,0.0
BigMHC,PRIME,immunogenicity,mrr,17457,463,70,0.17925826810475948,0.20999589027457913,-0.03073762216981965,-0.11675118827663264,0.058761820430309405
BigMHC,PRIME,immunogenicity,ndcg@10,17457,463,70,0.08262114224022538,0.10875190364903926,-0.026130761408813888,-0.06586530107897698,0.016543074144428887
BigMHC,PRIME,immunogenicity,ndcg@20,17457,463,70,0.10475573278675282,0.1484942389047597,-0.04373850611800689,-0.08338951426895236,-0.0032750982543430823
BigMHC,PRIME,immunogenicity,ndcg@5,17457,463,70,0.05999687767867254,0.09908070239863123,-0.03908382471995869,-0.08595963282450478,0.00877791891781991
BigMHC,PRIME,immunogenicity,precision@10,17457,463,70,0.055,0.07833333333333334,-0.023333333333333338,-0.046434523809523814,-0.0016393442622950893
BigMHC,PRIME,immunogenicity,precision@20,17457,463,70,0.04833333333333333,0.07,-0.021666666666666674,-0.03834482758620691,-0.0060319257744009475
BigMHC,PRIME,immunogenicity,precision@5,17457,463,70,0.04666666666666667,0.10333333333333333,-0.056666666666666664,-0.09526455026455029,-0.019991803278688575
BigMHC,PRIME,immunogenicity,recall@10,17457,463,70,0.09550887293534352,0.12644178295153793,-0.030932910016194415,-0.09358394741485443,0.03146490109353547
BigMHC,PRIME,immunogenicity,recall@20,17457,463,70,0.15175570795486457,0.2521109528418432,-0.10035524488697864,-0.1788990282645159,-0.01936635838545947
BigMHC,PRIME,immunogenicity,recall@5,17457,463,70,0.03804563492063492,0.0593145899690818,-0.021268955048446885,-0.049942376972316196,0.00936711535770567
