left,right,task,metric,n_common,positives_common,patients_common,left_value_common,right_value_common,difference_left_minus_right,ci_low,ci_high
BigMHC,PRIME,immunogenicity,auroc,15508,454,70,0.5570005249823103,0.6197087694285887,-0.06270824444627832,-0.10328418049333872,-0.021200824425258242
BigMHC,PRIME,immunogenicity,average_precision,15508,454,70,0.035725091615924305,0.047085792465602884,-0.011360700849678579,-0.021756193831568165,-0.002717924156678858
BigMHC,PRIME,immunogenicity,hitrate@10,15508,454,70,0.45,0.5333333333333333,-0.08333333333333331,-0.21666666666666667,0.05084745762711862
BigMHC,PRIME,immunogenicity,hitrate@20,15508,454,70,0.6333333333333333,0.7666666666666667,-0.13333333333333341,-0.24137931034482762,-0.030500000000001474
BigMHC,PRIME,immunogenicity,hitrate@5,15508,454,70,0.25,0.38333333333333336,-0.13333333333333336,-0.27118644067796605,0.0
BigMHC,PRIME,immunogenicity,mrr,15508,454,70,0.202555293905601,0.23299789338847923,-0.030442599482878224,-0.11356606790906844,0.058125805978220195
BigMHC,PRIME,immunogenicity,ndcg@10,15508,454,70,0.08917621083183522,0.13067786000916146,-0.04150164917732624,-0.08349233414665562,0.0017312696400933877
BigMHC,PRIME,immunogenicity,ndcg@20,15508,454,70,0.12093419366128383,0.1777591237628782,-0.05682493010159437,-0.09535555606055685,-0.016967811593794378
BigMHC,PRIME,immunogenicity,ndcg@5,15508,454,70,0.06847588281051294,0.11266929096539889,-0.044193408154885955,-0.09153757425491718,0.004235181157039931
BigMHC,PRIME,immunogenicity,precision@10,15508,454,70,0.06166666666666667,0.09166666666666667,-0.030000000000000006,-0.056365835777126096,-0.006666666666666668
BigMHC,PRIME,immunogenicity,precision@20,15508,454,70,0.060000000000000005,0.08416666666666667,-0.024166666666666663,-0.04051724137931034,-0.00872742200328409
BigMHC,PRIME,immunogenicity,precision@5,15508,454,70,0.05333333333333334,0.11666666666666667,-0.06333333333333332,-0.10345135467980297,-0.02413793103448276
BigMHC,PRIME,immunogenicity,recall@10,15508,454,70,0.08778671083818143,0.16338126475170087,-0.07559455391351944,-0.14399416476069116,-0.012787164224664251
BigMHC,PRIME,immunogenicity,recall@20,15508,454,70,0.16564418302755016,0.30375703286834116,-0.138112849840791,-0.21430548970982094,-0.06118383147473153
BigMHC,PRIME,immunogenicity,recall@5,15508,454,70,0.04356150793650793,0.07171790496334107,-0.02815639702683314,-0.06006275148479949,0.005094435672090141
