left,right,task,metric,n_common,positives_common,patients_common,left_value_common,right_value_common,difference_left_minus_right,ci_low,ci_high
BigMHC,PRIME,immunogenicity,auroc,15508,454,70,0.5900546578572645,0.6237143200776764,-0.033659662220411835,-0.06399324796039386,-0.004217013456002351
BigMHC,PRIME,immunogenicity,average_precision,15508,454,70,0.04431785814256973,0.0480246940858717,-0.00370683594330197,-0.0119833307880007,0.006291990015651395
BigMHC,PRIME,immunogenicity,hitrate@10,15508,454,70,0.45,0.5666666666666667,-0.11666666666666664,-0.2459016393442623,0.014936854190585514
BigMHC,PRIME,immunogenicity,hitrate@20,15508,454,70,0.6666666666666666,0.6666666666666666,0.0,-0.09375,0.09523809523809523
BigMHC,PRIME,immunogenicity,hitrate@5,15508,454,70,0.31666666666666665,0.38333333333333336,-0.06666666666666671,-0.1896756978653531,0.051724137931034475
BigMHC,PRIME,immunogenicity,mrr,15508,454,70,0.23930852333307953,0.2560274317551143,-0.016718908422034745,-0.10748366597900222,0.07806786807751256
BigMHC,PRIME,immunogenicity,ndcg@10,15508,454,70,0.10539836768508622,0.1293553240052982,-0.023956956320211983,-0.06550454575548117,0.020390104084166288
BigMHC,PRIME,immunogenicity,ndcg@20,15508,454,70,0.14260274243018445,0.16198440048673515,-0.019381658056550705,-0.05645245831761408,0.02085912104839368
BigMHC,PRIME,immunogenicity,ndcg@5,15508,454,70,0.0962671022951806,0.11131066569892652,-0.015043563403745921,-0.061799664785384734,0.03481131928464634
BigMHC,PRIME,immunogenicity,precision@10,15508,454,70,0.07166666666666667,0.09,-0.018333333333333326,-0.03870967741935484,0.0017241379310344862
BigMHC,PRIME,immunogenicity,precision@20,15508,454,70,0.06583333333333334,0.07833333333333334,-0.012499999999999997,-0.025806451612903222,0.0
BigMHC,PRIME,immunogenicity,precision@5,15508,454,70,0.08,0.10666666666666667,-0.026666666666666672,-0.0655750512295082,0.012130681818181761
BigMHC,PRIME,immunogenicity,recall@10,15508,454,70,0.092826266964198,0.15148871285914897,-0.05866244589495097,-0.11852260865010635,-0.0013937041464451819
BigMHC,PRIME,immunogenicity,recall@20,15508,454,70,0.20158400709237423,0.2401696615870044,-0.03858565449463017,-0.08995684333749829,0.00712539702249144
BigMHC,PRIME,immunogenicity,recall@5,15508,454,70,0.05976333452626556,0.06611274623318233,-0.006349411706916774,-0.04051912971569411,0.027851384442322387
