left,right,task,metric,difference_left_minus_right,ci_low,ci_high
BigMHC,PRIME,immunogenicity,auroc,0.0930780559646539,0.057072158365261805,0.13441441441441437
BigMHC,PRIME,immunogenicity,average_precision,0.1979112551914833,0.11470684633209227,0.28461573543131946
BigMHC,PRIME,immunogenicity,hitrate@10,0.16666666666666663,0.0,0.5
BigMHC,PRIME,immunogenicity,hitrate@20,0.0,0.0,0.0
BigMHC,PRIME,immunogenicity,hitrate@5,0.33333333333333337,0.0,0.6666666666666667
BigMHC,PRIME,immunogenicity,mrr,0.2279040404040404,0.07638888888888895,0.38636363636363635
BigMHC,PRIME,immunogenicity,ndcg@10,0.29910033750173654,0.16317448405777968,0.49118724495468724
BigMHC,PRIME,immunogenicity,ndcg@20,0.31445504635275395,0.22490096350025585,0.4383345027372331
BigMHC,PRIME,immunogenicity,ndcg@5,0.30051531864765885,0.1638912618446116,0.4876891799838013
BigMHC,PRIME,immunogenicity,precision@10,0.14999999999999997,0.06666666666666665,0.23333333333333334
BigMHC,PRIME,immunogenicity,precision@20,0.1,0.05833333333333332,0.16666666666666666
BigMHC,PRIME,immunogenicity,precision@5,0.23333333333333334,0.06666666666666665,0.43333333333333335
BigMHC,PRIME,immunogenicity,recall@10,0.3101851851851852,0.12025462962962961,0.625
BigMHC,PRIME,immunogenicity,recall@20,0.3564814814814815,0.25462962962962965,0.5
BigMHC,PRIME,immunogenicity,recall@5,0.29166666666666663,0.06944444444444442,0.5972222222222222
