left,right,task,metric,n_common,positives_common,patients_common,left_value_common,right_value_common,difference_left_minus_right,ci_low,ci_high
BigMHC,DeepHLApan,immunogenicity,auroc,128,75,9,0.4759748427672956,0.5046540880503144,-0.028679245283018795,-0.1161501900458979,0.04947664122641821
BigMHC,DeepHLApan,immunogenicity,average_precision,128,75,9,0.5856631462955934,0.6532494332203217,-0.06758628692472834,-0.12680520185134853,-0.003714798993252979
BigMHC,DeepHLApan,immunogenicity,hitrate@10,128,75,9,1.0,1.0,0.0,0.0,0.0
BigMHC,DeepHLApan,immunogenicity,hitrate@20,128,75,9,1.0,1.0,0.0,0.0,0.0
BigMHC,DeepHLApan,immunogenicity,hitrate@5,128,75,9,1.0,0.8888888888888888,0.11111111111111116,0.0,0.33333333333333337
BigMHC,DeepHLApan,immunogenicity,mrr,128,75,9,0.6518518518518518,0.7222222222222222,-0.07037037037037042,-0.18148148148148147,0.001898148148147924
BigMHC,DeepHLApan,immunogenicity,ndcg@10,128,75,9,0.6312873089172459,0.6703258245072995,-0.03903851559005356,-0.08993220825260795,0.012336267625158463
BigMHC,DeepHLApan,immunogenicity,ndcg@20,128,75,9,0.7738604771130371,0.8085230459234908,-0.03466256881045371,-0.06086790188393626,-0.009628459310849956
BigMHC,DeepHLApan,immunogenicity,ndcg@5,128,75,9,0.5325765609825637,0.6140248752438171,-0.08144831426125343,-0.1901851493238087,0.050409043936959864
BigMHC,DeepHLApan,immunogenicity,precision@10,128,75,9,0.5611111111111111,0.5611111111111111,0.0,-0.0444444444444444,0.0444444444444444
BigMHC,DeepHLApan,immunogenicity,precision@20,128,75,9,0.5646005983467284,0.5646005983467284,0.0,0.0,0.0
BigMHC,DeepHLApan,immunogenicity,precision@5,128,75,9,0.5333333333333333,0.6222222222222222,-0.0888888888888889,-0.2222222222222222,0.06666666666666665
BigMHC,DeepHLApan,immunogenicity,recall@10,128,75,9,0.7159050825717492,0.7264870931537598,-0.010582010582010581,-0.06878306878306872,0.044973544973545
BigMHC,DeepHLApan,immunogenicity,recall@20,128,75,9,1.0,1.0,0.0,0.0,0.0
BigMHC,DeepHLApan,immunogenicity,recall@5,128,75,9,0.35287798621131955,0.35645342312008976,-0.003575436908770213,-0.1300316658649992,0.15916426166426165
BigMHC,DeepImmuno-CNN,immunogenicity,auroc,51,29,9,0.5438871473354232,0.4717868338557994,0.07210031347962381,-0.04712865259740257,0.16264296120925142
BigMHC,DeepImmuno-CNN,immunogenicity,average_precision,51,29,9,0.6316320043675665,0.5833356847201822,0.048296319647384345,-0.03556215089261466,0.1148432249105829
BigMHC,DeepImmuno-CNN,immunogenicity,hitrate@10,51,29,9,1.0,1.0,0.0,0.0,0.0
BigMHC,DeepImmuno-CNN,immunogenicity,hitrate@20,51,29,9,1.0,1.0,0.0,0.0,0.0
BigMHC,DeepImmuno-CNN,immunogenicity,hitrate@5,51,29,9,1.0,1.0,0.0,0.0,0.0
BigMHC,DeepImmuno-CNN,immunogenicity,mrr,51,29,9,0.7619047619047619,0.8095238095238095,-0.04761904761904767,-0.3214285714285714,0.125
BigMHC,DeepImmuno-CNN,immunogenicity,ndcg@10,51,29,9,0.8087012940824889,0.8191558587095117,-0.010454564627022767,-0.09325707120581819,0.05335537459609574
BigMHC,DeepImmuno-CNN,immunogenicity,ndcg@20,51,29,9,0.8207596953085604,0.8368671618581434,-0.01610746654958295,-0.0973475628913677,0.040171356613644446
BigMHC,DeepImmuno-CNN,immunogenicity,ndcg@5,51,29,9,0.6969262980316332,0.7107525131913099,-0.013826215159676747,-0.09740725277182755,0.044278942373923366
BigMHC,DeepImmuno-CNN,immunogenicity,precision@10,51,29,9,0.6232993197278911,0.616156462585034,0.0071428571428571175,0.0,0.022222222222222143
BigMHC,DeepImmuno-CNN,immunogenicity,precision@20,51,29,9,0.6232993197278911,0.6232993197278911,0.0,0.0,0.0
BigMHC,DeepImmuno-CNN,immunogenicity,precision@5,51,29,9,0.6523809523809524,0.6523809523809524,0.0,0.0,0.0
BigMHC,DeepImmuno-CNN,immunogenicity,recall@10,51,29,9,0.9761904761904762,0.9642857142857143,0.011904761904761862,0.0,0.03703703703703709
BigMHC,DeepImmuno-CNN,immunogenicity,recall@20,51,29,9,1.0,1.0,0.0,0.0,0.0
BigMHC,DeepImmuno-CNN,immunogenicity,recall@5,51,29,9,0.7547619047619047,0.7547619047619047,0.0,0.0,0.0
BigMHC,PRIME,immunogenicity,auroc,128,75,9,0.4759748427672956,0.579874213836478,-0.10389937106918234,-0.1891589126906106,-0.015272674169330787
BigMHC,PRIME,immunogenicity,average_precision,128,75,9,0.5856631462955934,0.6393093241046907,-0.053646177809097306,-0.12351507022065718,0.01740314444245059
