coverage,dataset,metric,n,predictor,value
1.0,improve_benchmark,AUROC,17475,BigMHC,0.5458288293413741
1.0,improve_benchmark,Recall@1,17475,BigMHC,0.01890873015873016
1.0,improve_benchmark,Recall@5,17475,BigMHC,0.038045634920634924
1.0,improve_benchmark,Recall@10,17475,BigMHC,0.07884220626867686
1.0,improve_benchmark,Recall@20,17475,BigMHC,0.14580332700248363
1.0,improve_benchmark,AUROC,17475,MHCflurry,0.5367554822274058
1.0,improve_benchmark,Recall@1,17475,MHCflurry,0.009533730158730158
1.0,improve_benchmark,Recall@5,17475,MHCflurry,0.04661971434997751
1.0,improve_benchmark,Recall@10,17475,MHCflurry,0.08175583503756877
1.0,improve_benchmark,Recall@20,17475,MHCflurry,0.20210686751655038
1.0,improve_benchmark,AUROC,17475,PRIME,0.5969085863470571
1.0,improve_benchmark,Recall@1,17475,PRIME,0.008503455608718766
1.0,improve_benchmark,Recall@5,17475,PRIME,0.0589177645722564
1.0,improve_benchmark,Recall@10,17475,PRIME,0.13437829088804587
1.0,improve_benchmark,Recall@20,17475,PRIME,0.26004746077835117
0.43844492440604754,zhao_vaccine_benchmark,AUROC,1015,BigMHC,0.5423340961098398
0.43844492440604754,zhao_vaccine_benchmark,Recall@1,1015,BigMHC,0.39791666666666664
0.43844492440604754,zhao_vaccine_benchmark,Recall@5,1015,BigMHC,0.9541666666666666
0.43844492440604754,zhao_vaccine_benchmark,Recall@10,1015,BigMHC,0.9875
0.43844492440604754,zhao_vaccine_benchmark,Recall@20,1015,BigMHC,1.0
0.43844492440604754,zhao_vaccine_benchmark,AUROC,1015,DeepHLApan,0.5072058035931643
0.43844492440604754,zhao_vaccine_benchmark,Recall@1,1015,DeepHLApan,0.35625
0.43844492440604754,zhao_vaccine_benchmark,Recall@5,1015,DeepHLApan,0.9249999999999998
0.43844492440604754,zhao_vaccine_benchmark,Recall@10,1015,DeepHLApan,1.0
0.43844492440604754,zhao_vaccine_benchmark,Recall@20,1015,DeepHLApan,1.0
0.43844492440604754,zhao_vaccine_benchmark,AUROC,1015,DeepImmuno-CNN,0.5257315351282925
0.43844492440604754,zhao_vaccine_benchmark,Recall@1,1015,DeepImmuno-CNN,0.3770833333333333
0.43844492440604754,zhao_vaccine_benchmark,Recall@5,1015,DeepImmuno-CNN,0.9249999999999998
0.43844492440604754,zhao_vaccine_benchmark,Recall@10,1015,DeepImmuno-CNN,0.9875
0.43844492440604754,zhao_vaccine_benchmark,Recall@20,1015,DeepImmuno-CNN,1.0
0.43844492440604754,zhao_vaccine_benchmark,AUROC,1015,MHCflurry,0.5430968726163234
0.43844492440604754,zhao_vaccine_benchmark,Recall@1,1015,MHCflurry,0.3572916666666667
0.43844492440604754,zhao_vaccine_benchmark,Recall@5,1015,MHCflurry,0.9322916666666666
0.43844492440604754,zhao_vaccine_benchmark,Recall@10,1015,MHCflurry,1.0
0.43844492440604754,zhao_vaccine_benchmark,Recall@20,1015,MHCflurry,1.0
0.43844492440604754,zhao_vaccine_benchmark,AUROC,1015,PRIME,0.5365240112306668
0.43844492440604754,zhao_vaccine_benchmark,Recall@1,1015,PRIME,0.37083333333333335
0.43844492440604754,zhao_vaccine_benchmark,Recall@5,1015,PRIME,0.9302083333333334
0.43844492440604754,zhao_vaccine_benchmark,Recall@10,1015,PRIME,1.0
0.43844492440604754,zhao_vaccine_benchmark,Recall@20,1015,PRIME,1.0
0.3953488372093023,rcc_vaccine_benchmark,AUROC,51,BigMHC,0.5438871473354232
0.3953488372093023,rcc_vaccine_benchmark,Recall@1,51,BigMHC,0.15952380952380954
0.3953488372093023,rcc_vaccine_benchmark,Recall@5,51,BigMHC,0.7785714285714286
0.3953488372093023,rcc_vaccine_benchmark,Recall@10,51,BigMHC,0.9761904761904762
0.3953488372093023,rcc_vaccine_benchmark,Recall@20,51,BigMHC,1.0
0.3953488372093023,rcc_vaccine_benchmark,AUROC,51,DeepHLApan,0.4608150470219436
0.3953488372093023,rcc_vaccine_benchmark,Recall@1,51,DeepHLApan,0.1880952380952381
0.3953488372093023,rcc_vaccine_benchmark,Recall@5,51,DeepHLApan,0.7785714285714285
0.3953488372093023,rcc_vaccine_benchmark,Recall@10,51,DeepHLApan,1.0
0.3953488372093023,rcc_vaccine_benchmark,Recall@20,51,DeepHLApan,1.0
0.3953488372093023,rcc_vaccine_benchmark,AUROC,51,DeepImmuno-CNN,0.4717868338557994
0.3953488372093023,rcc_vaccine_benchmark,Recall@1,51,DeepImmuno-CNN,0.16428571428571428
0.3953488372093023,rcc_vaccine_benchmark,Recall@5,51,DeepImmuno-CNN,0.7785714285714286
0.3953488372093023,rcc_vaccine_benchmark,Recall@10,51,DeepImmuno-CNN,0.9761904761904762
0.3953488372093023,rcc_vaccine_benchmark,Recall@20,51,DeepImmuno-CNN,1.0
0.3953488372093023,rcc_vaccine_benchmark,AUROC,51,PRIME,0.622257053291536
0.3953488372093023,rcc_vaccine_benchmark,Recall@1,51,PRIME,0.15952380952380954
0.3953488372093023,rcc_vaccine_benchmark,Recall@5,51,PRIME,0.7785714285714285
0.3953488372093023,rcc_vaccine_benchmark,Recall@10,51,PRIME,1.0
0.3953488372093023,rcc_vaccine_benchmark,Recall@20,51,PRIME,1.0
