analysis_type,dataset,held_out_domain,metric,n,patients,predictor,value
descriptive_leave_one_domain_out,improve_benchmark,IMPROVE-basket,AUROC,12115,50,BigMHC,0.510179883078191
descriptive_leave_one_domain_out,improve_benchmark,IMPROVE-basket,AUROC,12115,50,MHCflurry,0.5300323841168303
descriptive_leave_one_domain_out,improve_benchmark,IMPROVE-basket,AUROC,12115,50,PRIME,0.5741732163043727
descriptive_leave_one_domain_out,improve_benchmark,IMPROVE-mUC,AUROC,11240,46,BigMHC,0.5636546281868342
descriptive_leave_one_domain_out,improve_benchmark,IMPROVE-mUC,AUROC,11240,46,MHCflurry,0.5404874933634612
descriptive_leave_one_domain_out,improve_benchmark,IMPROVE-mUC,AUROC,11240,46,PRIME,0.6117649277495425
descriptive_leave_one_domain_out,improve_benchmark,IMPROVE-melanoma,AUROC,11595,44,BigMHC,0.5708696661696276
descriptive_leave_one_domain_out,improve_benchmark,IMPROVE-melanoma,AUROC,11595,44,MHCflurry,0.5392223509184932
descriptive_leave_one_domain_out,improve_benchmark,IMPROVE-melanoma,AUROC,11595,44,PRIME,0.6088626172526672
descriptive_leave_one_domain_out,zhao_vaccine_benchmark,ZHAO_DC_VACCINE_2026,AUROC,0,0,BigMHC,
descriptive_leave_one_domain_out,zhao_vaccine_benchmark,ZHAO_DC_VACCINE_2026,AUROC,0,0,DeepHLApan,
descriptive_leave_one_domain_out,zhao_vaccine_benchmark,ZHAO_DC_VACCINE_2026,AUROC,0,0,DeepImmuno-CNN,
descriptive_leave_one_domain_out,zhao_vaccine_benchmark,ZHAO_DC_VACCINE_2026,AUROC,0,0,MHCflurry,
descriptive_leave_one_domain_out,zhao_vaccine_benchmark,ZHAO_DC_VACCINE_2026,AUROC,0,0,PRIME,
descriptive_leave_one_domain_out,rcc_vaccine_benchmark,RCC_PCV_VACCINE_2025,AUROC,0,0,BigMHC,
descriptive_leave_one_domain_out,rcc_vaccine_benchmark,RCC_PCV_VACCINE_2025,AUROC,0,0,DeepHLApan,
descriptive_leave_one_domain_out,rcc_vaccine_benchmark,RCC_PCV_VACCINE_2025,AUROC,0,0,DeepImmuno-CNN,
descriptive_leave_one_domain_out,rcc_vaccine_benchmark,RCC_PCV_VACCINE_2025,AUROC,0,0,PRIME,
