dataset,left,metric,n,right,value
improve_benchmark,BigMHC,record_score_spearman,17475,MHCflurry,0.4318233968048541
improve_benchmark,BigMHC,patient_Recall@1_difference,17475,MHCflurry,0.009375000000000001
improve_benchmark,BigMHC,patient_Recall@5_difference,17475,MHCflurry,-0.008574079429342588
improve_benchmark,BigMHC,patient_Recall@10_difference,17475,MHCflurry,-0.0029136287688919377
improve_benchmark,BigMHC,patient_Recall@20_difference,17475,MHCflurry,-0.0563035405140668
improve_benchmark,BigMHC,record_score_spearman,17475,PRIME,0.40658523103185173
improve_benchmark,BigMHC,patient_Recall@1_difference,17475,PRIME,0.010405274550011393
improve_benchmark,BigMHC,patient_Recall@5_difference,17475,PRIME,-0.020872129651621482
improve_benchmark,BigMHC,patient_Recall@10_difference,17475,PRIME,-0.055536084619369014
improve_benchmark,BigMHC,patient_Recall@20_difference,17475,PRIME,-0.11424413377586748
improve_benchmark,MHCflurry,record_score_spearman,17475,PRIME,0.6508621316344753
improve_benchmark,MHCflurry,patient_Recall@1_difference,17475,PRIME,0.0010302745500113918
improve_benchmark,MHCflurry,patient_Recall@5_difference,17475,PRIME,-0.012298050222278895
improve_benchmark,MHCflurry,patient_Recall@10_difference,17475,PRIME,-0.052622455850477076
improve_benchmark,MHCflurry,patient_Recall@20_difference,17475,PRIME,-0.05794059326180068
zhao_vaccine_benchmark,BigMHC,record_score_spearman,2315,DeepHLApan,-0.03852733305541504
zhao_vaccine_benchmark,BigMHC,patient_Recall@1_difference,2315,DeepHLApan,0.05223555070883315
zhao_vaccine_benchmark,BigMHC,patient_Recall@5_difference,2315,DeepHLApan,0.08995819701926577
zhao_vaccine_benchmark,BigMHC,patient_Recall@10_difference,2315,DeepHLApan,-0.023209741912031956
zhao_vaccine_benchmark,BigMHC,patient_Recall@20_difference,2315,DeepHLApan,0.0
zhao_vaccine_benchmark,BigMHC,record_score_spearman,1015,DeepImmuno-CNN,0.10932207075221095
zhao_vaccine_benchmark,BigMHC,patient_Recall@1_difference,1015,DeepImmuno-CNN,0.02083333333333337
zhao_vaccine_benchmark,BigMHC,patient_Recall@5_difference,1015,DeepImmuno-CNN,0.029166666666666563
zhao_vaccine_benchmark,BigMHC,patient_Recall@10_difference,1015,DeepImmuno-CNN,0.0
zhao_vaccine_benchmark,BigMHC,patient_Recall@20_difference,1015,DeepImmuno-CNN,0.0
zhao_vaccine_benchmark,BigMHC,record_score_spearman,2315,MHCflurry,0.44386743408029294
zhao_vaccine_benchmark,BigMHC,patient_Recall@1_difference,2315,MHCflurry,0.06068702290076339
zhao_vaccine_benchmark,BigMHC,patient_Recall@5_difference,2315,MHCflurry,0.04249363867684475
zhao_vaccine_benchmark,BigMHC,patient_Recall@10_difference,2315,MHCflurry,-0.008651399491094058
zhao_vaccine_benchmark,BigMHC,patient_Recall@20_difference,2315,MHCflurry,0.0
zhao_vaccine_benchmark,BigMHC,record_score_spearman,2310,PRIME,0.3699749982360709
zhao_vaccine_benchmark,BigMHC,patient_Recall@1_difference,2310,PRIME,0.05258397932816539
zhao_vaccine_benchmark,BigMHC,patient_Recall@5_difference,2310,PRIME,0.04298018949181737
zhao_vaccine_benchmark,BigMHC,patient_Recall@10_difference,2310,PRIME,-0.015503875968992165
zhao_vaccine_benchmark,BigMHC,patient_Recall@20_difference,2310,PRIME,0.0
zhao_vaccine_benchmark,DeepHLApan,record_score_spearman,1015,DeepImmuno-CNN,0.40610422466771756
zhao_vaccine_benchmark,DeepHLApan,patient_Recall@1_difference,1015,DeepImmuno-CNN,-0.02083333333333326
zhao_vaccine_benchmark,DeepHLApan,patient_Recall@5_difference,1015,DeepImmuno-CNN,0.0
zhao_vaccine_benchmark,DeepHLApan,patient_Recall@10_difference,1015,DeepImmuno-CNN,0.012499999999999956
zhao_vaccine_benchmark,DeepHLApan,patient_Recall@20_difference,1015,DeepImmuno-CNN,0.0
zhao_vaccine_benchmark,DeepHLApan,record_score_spearman,2315,MHCflurry,-0.040780884614182465
zhao_vaccine_benchmark,DeepHLApan,patient_Recall@1_difference,2315,MHCflurry,0.008451472191930237
zhao_vaccine_benchmark,DeepHLApan,patient_Recall@5_difference,2315,MHCflurry,-0.047464558342421026
zhao_vaccine_benchmark,DeepHLApan,patient_Recall@10_difference,2315,MHCflurry,0.014558342420937898
zhao_vaccine_benchmark,DeepHLApan,patient_Recall@20_difference,2315,MHCflurry,0.0
zhao_vaccine_benchmark,DeepHLApan,record_score_spearman,2310,PRIME,-0.14011603954761742
zhao_vaccine_benchmark,DeepHLApan,patient_Recall@1_difference,2310,PRIME,0.007290513104466573
zhao_vaccine_benchmark,DeepHLApan,patient_Recall@5_difference,2310,PRIME,-0.040620770271933226
zhao_vaccine_benchmark,DeepHLApan,patient_Recall@10_difference,2310,PRIME,0.008065706902916303
zhao_vaccine_benchmark,DeepHLApan,patient_Recall@20_difference,2310,PRIME,0.0
zhao_vaccine_benchmark,DeepImmuno-CNN,record_score_spearman,1015,MHCflurry,0.09367228092520263
zhao_vaccine_benchmark,DeepImmuno-CNN,patient_Recall@1_difference,1015,MHCflurry,0.019791666666666652
zhao_vaccine_benchmark,DeepImmuno-CNN,patient_Recall@5_difference,1015,MHCflurry,-0.007291666666666585
zhao_vaccine_benchmark,DeepImmuno-CNN,patient_Recall@10_difference,1015,MHCflurry,-0.012499999999999956
zhao_vaccine_benchmark,DeepImmuno-CNN,patient_Recall@20_difference,1015,MHCflurry,0.0
zhao_vaccine_benchmark,DeepImmuno-CNN,record_score_spearman,1015,PRIME,-0.030588882476202253
zhao_vaccine_benchmark,DeepImmuno-CNN,patient_Recall@1_difference,1015,PRIME,0.006249999999999978
zhao_vaccine_benchmark,DeepImmuno-CNN,patient_Recall@5_difference,1015,PRIME,-0.005208333333333148
zhao_vaccine_benchmark,DeepImmuno-CNN,patient_Recall@10_difference,1015,PRIME,-0.012499999999999956
zhao_vaccine_benchmark,DeepImmuno-CNN,patient_Recall@20_difference,1015,PRIME,0.0
zhao_vaccine_benchmark,MHCflurry,record_score_spearman,2310,PRIME,0.7408911584698367
zhao_vaccine_benchmark,MHCflurry,patient_Recall@1_difference,2310,PRIME,-0.009043927648578837
zhao_vaccine_benchmark,MHCflurry,patient_Recall@5_difference,2310,PRIME,0.0075796726959517224
zhao_vaccine_benchmark,MHCflurry,patient_Recall@10_difference,2310,PRIME,-0.006718346253229868
zhao_vaccine_benchmark,MHCflurry,patient_Recall@20_difference,2310,PRIME,0.0
rcc_vaccine_benchmark,BigMHC,record_score_spearman,128,DeepHLApan,0.24047728053107473
rcc_vaccine_benchmark,BigMHC,patient_Recall@1_difference,128,DeepHLApan,-0.010101010101010097
rcc_vaccine_benchmark,BigMHC,patient_Recall@5_difference,128,DeepHLApan,-0.003575436908770213
rcc_vaccine_benchmark,BigMHC,patient_Recall@10_difference,128,DeepHLApan,-0.010582010582010581
rcc_vaccine_benchmark,BigMHC,patient_Recall@20_difference,128,DeepHLApan,0.0
rcc_vaccine_benchmark,BigMHC,record_score_spearman,51,DeepImmuno-CNN,0.3616192718710379
rcc_vaccine_benchmark,BigMHC,patient_Recall@1_difference,51,DeepImmuno-CNN,-0.028571428571428567
rcc_vaccine_benchmark,BigMHC,patient_Recall@5_difference,51,DeepImmuno-CNN,0.0
rcc_vaccine_benchmark,BigMHC,patient_Recall@10_difference,51,DeepImmuno-CNN,0.023809523809523725
rcc_vaccine_benchmark,BigMHC,patient_Recall@20_difference,51,DeepImmuno-CNN,0.0
rcc_vaccine_benchmark,BigMHC,record_score_spearman,128,PRIME,0.43052596790413744
rcc_vaccine_benchmark,BigMHC,patient_Recall@1_difference,128,PRIME,-0.005691839025172354
rcc_vaccine_benchmark,BigMHC,patient_Recall@5_difference,128,PRIME,-0.12574955908289237
rcc_vaccine_benchmark,BigMHC,patient_Recall@10_difference,128,PRIME,-0.004489337822671136
rcc_vaccine_benchmark,BigMHC,patient_Recall@20_difference,128,PRIME,0.0
