comparison,dataset,k,metric,predictors_in_support,strategy,value
BigMHC_vs_PRIME,improve_benchmark,5,probability_BigMHC_below_PRIME,,common_support,0.9185
BigMHC_vs_PRIME,zhao_vaccine_benchmark,5,probability_BigMHC_below_PRIME,,common_support,0.0555
BigMHC_vs_PRIME,rcc_vaccine_benchmark,5,probability_BigMHC_below_PRIME,,common_support,0.9985
coverage_filtered_predictors,improve_benchmark,5,common_support_n,BigMHC|MHCflurry|PRIME,coverage_threshold_0.5,17475
coverage_filtered_predictors,zhao_vaccine_benchmark,5,common_support_n,BigMHC|DeepHLApan|MHCflurry|PRIME,coverage_threshold_0.5,2310
coverage_filtered_predictors,rcc_vaccine_benchmark,5,common_support_n,BigMHC|DeepHLApan|PRIME,coverage_threshold_0.5,128
coverage_filtered_predictors,improve_benchmark,5,common_support_n,BigMHC|MHCflurry|PRIME,coverage_threshold_0.8,17475
coverage_filtered_predictors,zhao_vaccine_benchmark,5,common_support_n,BigMHC|DeepHLApan|MHCflurry|PRIME,coverage_threshold_0.8,2310
coverage_filtered_predictors,rcc_vaccine_benchmark,5,common_support_n,BigMHC|DeepHLApan|PRIME,coverage_threshold_0.8,128
coverage_filtered_predictors,improve_benchmark,5,common_support_n,BigMHC|MHCflurry|PRIME,coverage_threshold_0.95,17475
coverage_filtered_predictors,zhao_vaccine_benchmark,5,common_support_n,BigMHC|DeepHLApan|MHCflurry|PRIME,coverage_threshold_0.95,2310
coverage_filtered_predictors,rcc_vaccine_benchmark,5,common_support_n,BigMHC|DeepHLApan|PRIME,coverage_threshold_0.95,128
