left,right,task,metric,n_common,positives_common,patients_common,left_value_common,right_value_common,difference_left_minus_right,ci_low,ci_high
BigMHC,DeepHLApan,immunogenicity,auroc,2315,311,352,0.5500606504033733,0.4879357041543922,0.06212494624898107,0.004327998085129916,0.12212541844574168
BigMHC,DeepHLApan,immunogenicity,average_precision,2315,311,352,0.14754790613734112,0.1314033972926639,0.01614450884467722,-0.007282795482669739,0.04047630832246104
BigMHC,DeepHLApan,immunogenicity,hitrate@10,2315,311,352,0.9847328244274809,1.0,-0.01526717557251911,-0.03816793893129766,0.0
BigMHC,DeepHLApan,immunogenicity,hitrate@20,2315,311,352,1.0,1.0,0.0,0.0,0.0
BigMHC,DeepHLApan,immunogenicity,hitrate@5,2315,311,352,0.9389312977099237,0.8549618320610687,0.08396946564885499,0.029829115293099697,0.13741149463436217
BigMHC,DeepHLApan,immunogenicity,mrr,2315,311,352,0.6584093387528502,0.5897825033321217,0.06862683542072856,-0.0013390124304791886,0.1324037959652594
BigMHC,DeepHLApan,immunogenicity,ndcg@10,2315,311,352,0.718747211164101,0.6784709944934334,0.04027621667066761,-0.003356233974337727,0.08309797611065713
BigMHC,DeepHLApan,immunogenicity,ndcg@20,2315,311,352,0.7282957929323233,0.6806066658307903,0.04768912710153295,0.005812346160448848,0.08852683204806495
BigMHC,DeepHLApan,immunogenicity,ndcg@5,2315,311,352,0.6583767475453979,0.5802316782057277,0.07814506933967014,0.022140533994335524,0.13321802960274304
BigMHC,DeepHLApan,immunogenicity,precision@10,2315,311,352,0.3736610929359021,0.3782412456076578,-0.004580152671755711,-0.009353080035971252,0.0
BigMHC,DeepHLApan,immunogenicity,precision@20,2315,311,352,0.37583509577784385,0.37583509577784385,0.0,0.0,0.0
BigMHC,DeepHLApan,immunogenicity,precision@5,2315,311,352,0.39567430025445294,0.38040712468193383,0.01526717557251911,-0.006560109289617515,0.036987569761542376
BigMHC,DeepHLApan,immunogenicity,recall@10,2315,311,352,0.972064703744093,0.995274445656125,-0.023209741912031956,-0.04758277529761909,-0.002845221856103554
BigMHC,DeepHLApan,immunogenicity,recall@20,2315,311,352,1.0,1.0,0.0,0.0,0.0
BigMHC,DeepHLApan,immunogenicity,recall@5,2315,311,352,0.8155549497152551,0.7255967526959893,0.08995819701926577,0.029412186948853565,0.15069700271841022
BigMHC,DeepImmuno-CNN,immunogenicity,auroc,1015,141,298,0.5423340961098398,0.5257315351282925,0.016602560981547332,-0.05661908167001114,0.09292231553775417
BigMHC,DeepImmuno-CNN,immunogenicity,average_precision,1015,141,298,0.15379816719771347,0.158108723061618,-0.004310555863904525,-0.05025365738169509,0.041758319459068396
